image_path,label
test\3\0.png,5
test\8\1.png,1
test\8\2.png,9
test\0\3.png,0
test\6\4.png,3
test\6\5.png,6
test\1\6.png,0
test\6\7.png,4
test\3\8.png,4
test\1\9.png,1
test\0\10.png,0
test\9\11.png,1
test\5\12.png,5
test\7\13.png,7
test\9\14.png,1
test\8\15.png,8
test\5\16.png,2
test\7\17.png,2
test\8\18.png,8
test\6\19.png,6
test\7\20.png,7
test\0\21.png,0
test\4\22.png,0
test\9\23.png,1
test\5\24.png,4
test\2\25.png,6
test\4\26.png,2
test\0\27.png,0
test\9\28.png,9
test\6\29.png,6
test\6\30.png,5
test\5\31.png,5
test\4\32.png,4
test\5\33.png,6
test\9\34.png,9
test\2\35.png,3
test\4\36.png,3
test\1\37.png,9
test\9\38.png,1
test\5\39.png,5
test\4\40.png,0
test\6\41.png,6
test\5\42.png,7
test\6\43.png,3
test\0\44.png,0
test\9\45.png,9
test\3\46.png,5
test\9\47.png,9
test\7\48.png,4
test\6\49.png,4
test\9\50.png,9
test\8\51.png,8
test\0\52.png,6
test\3\53.png,5
test\8\54.png,8
test\8\55.png,8
test\7\56.png,7
test\7\57.png,6
test\4\58.png,5
test\6\59.png,4
test\7\60.png,4
test\3\61.png,6
test\6\62.png,4
test\3\63.png,4
test\6\64.png,2
test\2\65.png,6
test\1\66.png,8
test\2\67.png,0
test\3\68.png,5
test\7\69.png,9
test\2\70.png,0
test\6\71.png,6
test\8\72.png,0
test\8\73.png,8
test\0\74.png,1
test\2\75.png,2
test\9\76.png,0
test\3\77.png,5
test\3\78.png,3
test\8\79.png,8
test\8\80.png,8
test\1\81.png,1
test\1\82.png,1
test\7\83.png,7
test\2\84.png,2
test\5\85.png,2
test\2\86.png,5
test\7\87.png,8
test\8\88.png,8
test\9\89.png,9
test\0\90.png,0
test\3\91.png,4
test\8\92.png,8
test\6\93.png,6
test\4\94.png,4
test\6\95.png,4
test\6\96.png,6
test\0\97.png,4
test\0\98.png,2
test\7\99.png,2
test\4\100.png,2
test\5\101.png,5
test\6\102.png,6
test\3\103.png,6
test\1\104.png,1
test\1\105.png,1
test\3\106.png,6
test\6\107.png,6
test\8\108.png,5
test\7\109.png,7
test\4\110.png,0
test\0\111.png,0
test\6\112.png,2
test\2\113.png,7
test\1\114.png,1
test\3\115.png,7
test\0\116.png,0
test\4\117.png,5
test\2\118.png,3
test\7\119.png,7
test\8\120.png,0
test\3\121.png,4
test\1\122.png,5
test\2\123.png,2
test\8\124.png,0
test\0\125.png,2
test\8\126.png,2
test\3\127.png,3
test\5\128.png,3
test\2\129.png,6
test\4\130.png,2
test\1\131.png,3
test\8\132.png,1
test\9\133.png,7
test\1\134.png,1
test\2\135.png,2
test\9\136.png,9
test\7\137.png,7
test\2\138.png,2
test\9\139.png,8
test\6\140.png,2
test\5\141.png,7
test\6\142.png,3
test\3\143.png,7
test\8\144.png,9
test\7\145.png,6
test\6\146.png,6
test\2\147.png,5
test\5\148.png,6
test\2\149.png,3
test\8\150.png,0
test\9\151.png,2
test\6\152.png,6
test\0\153.png,3
test\0\154.png,0
test\5\155.png,5
test\2\156.png,6
test\9\157.png,9
test\5\158.png,3
test\4\159.png,4
test\2\160.png,2
test\1\161.png,1
test\6\162.png,3
test\6\163.png,6
test\8\164.png,8
test\4\165.png,7
test\8\166.png,0
test\4\167.png,4
test\5\168.png,7
test\0\169.png,0
test\9\170.png,3
test\9\171.png,9
test\9\172.png,0
test\8\173.png,8
test\9\174.png,1
test\9\175.png,9
test\3\176.png,8
test\7\177.png,6
test\5\178.png,5
test\0\179.png,0
test\0\180.png,9
test\5\181.png,3
test\2\182.png,7
test\2\183.png,5
test\3\184.png,4
test\8\185.png,0
test\6\186.png,6
test\3\187.png,2
test\4\188.png,3
test\0\189.png,0
test\5\190.png,4
test\8\191.png,1
test\0\192.png,4
test\1\193.png,7
test\7\194.png,7
test\2\195.png,4
test\8\196.png,8
test\8\197.png,2
test\7\198.png,3
test\8\199.png,3
test\5\200.png,3
test\1\201.png,0
test\8\202.png,8
test\7\203.png,7
test\1\204.png,1
test\3\205.png,5
test\0\206.png,8
test\5\207.png,3
test\7\208.png,7
test\9\209.png,8
test\7\210.png,3
test\4\211.png,9
test\5\212.png,2
test\9\213.png,5
test\8\214.png,9
test\0\215.png,4
test\7\216.png,7
test\9\217.png,9
test\8\218.png,0
test\2\219.png,4
test\7\220.png,7
test\6\221.png,6
test\9\222.png,2
test\4\223.png,3
test\3\224.png,9
test\9\225.png,1
test\6\226.png,6
test\4\227.png,6
test\7\228.png,2
test\6\229.png,4
test\5\230.png,3
test\1\231.png,9
test\5\232.png,7
test\8\233.png,1
test\8\234.png,8
test\0\235.png,0
test\4\236.png,4
test\0\237.png,0
test\5\238.png,6
test\5\239.png,5
test\1\240.png,1
test\1\241.png,9
test\8\242.png,0
test\9\243.png,8
test\0\244.png,0
test\3\245.png,8
test\1\246.png,4
test\9\247.png,8
test\2\248.png,5
test\2\249.png,0
test\5\250.png,7
test\3\251.png,3
test\9\252.png,6
test\9\253.png,6
test\4\254.png,4
test\0\255.png,0
test\3\256.png,6
test\0\257.png,8
test\0\258.png,6
test\9\259.png,8
test\8\260.png,5
test\1\261.png,1
test\5\262.png,2
test\7\263.png,0
test\0\264.png,0
test\8\265.png,0
test\2\266.png,5
test\4\267.png,4
test\7\268.png,5
test\0\269.png,4
test\2\270.png,2
test\3\271.png,3
test\6\272.png,6
test\3\273.png,5
test\8\274.png,8
test\5\275.png,3
test\0\276.png,9
test\3\277.png,7
test\4\278.png,7
test\3\279.png,5
test\9\280.png,9
test\0\281.png,5
test\6\282.png,6
test\1\283.png,1
test\0\284.png,9
test\9\285.png,9
test\1\286.png,1
test\0\287.png,8
test\7\288.png,7
test\9\289.png,9
test\1\290.png,1
test\2\291.png,2
test\6\292.png,7
test\9\293.png,1
test\3\294.png,7
test\4\295.png,4
test\6\296.png,6
test\0\297.png,0
test\0\298.png,8
test\6\299.png,6
test\6\300.png,6
test\6\301.png,6
test\3\302.png,7
test\2\303.png,3
test\6\304.png,6
test\1\305.png,1
test\8\306.png,8
test\2\307.png,7
test\1\308.png,1
test\6\309.png,4
test\8\310.png,8
test\6\311.png,6
test\8\312.png,0
test\0\313.png,0
test\4\314.png,5
test\0\315.png,4
test\7\316.png,7
test\7\317.png,5
test\5\318.png,7
test\5\319.png,5
test\3\320.png,3
test\5\321.png,5
test\2\322.png,6
test\3\323.png,4
test\4\324.png,0
test\1\325.png,9
test\7\326.png,7
test\5\327.png,7
test\4\328.png,4
test\6\329.png,4
test\1\330.png,3
test\9\331.png,1
test\3\332.png,4
test\6\333.png,6
test\6\334.png,6
test\9\335.png,2
test\3\336.png,3
test\8\337.png,8
test\0\338.png,8
test\7\339.png,7
test\2\340.png,4
test\6\341.png,5
test\2\342.png,4
test\5\343.png,7
test\8\344.png,8
test\5\345.png,3
test\4\346.png,7
test\6\347.png,3
test\8\348.png,8
test\9\349.png,1
test\9\350.png,1
test\1\351.png,1
test\0\352.png,0
test\2\353.png,0
test\2\354.png,6
test\7\355.png,6
test\3\356.png,4
test\2\357.png,5
test\8\358.png,1
test\0\359.png,1
test\9\360.png,7
test\5\361.png,9
test\8\362.png,8
test\1\363.png,0
test\9\364.png,0
test\4\365.png,2
test\1\366.png,4
